gene_model,gene_name,unique_gene_id
KH.C10.182,CLDN1; CLDN19; CLDN7,Cirobu.g00001382
KH.C10.183,ADAMTS9; HMCN1; SEMA5B,Cirobu.g00001383
KH.C10.184,KH.C10.184,Cirobu.g00001384
KH.C10.185,KH.C10.185,Cirobu.g00001385
KH.C10.186,DHX36; DHX57; YTHDC2,Cirobu.g00001386
KH.C10.187,LLPH,Cirobu.g00001387
KH.C10.188,DHRS11; HPGD,Cirobu.g00001388
KH.C10.19,DNAH11; DNAH17; DNAH9,Cirobu.g00001389
KH.C10.190,HMCN1; PRSS33; TPSB2,Cirobu.g00001390
KH.C10.191,KH.C10.191,Cirobu.g00001391
KH.C10.192,CD9; TSPAN2; TSPAN8,Cirobu.g00001392
KH.C10.193,SLC22A16; SLC22A4; SLC22A5,Cirobu.g00001393
KH.C10.194,TMEM199,Cirobu.g00001394
KH.C10.195,ABHD1; ABHD2; ABHD3,Cirobu.g00001395
KH.C10.196,C6; C8A; C9,Cirobu.g00001396
KH.C10.197,TXN; TXNDC2; TXNL1,Cirobu.g00001397
KH.C10.198,CDH11; CDH7; PCDH1,Cirobu.g00001398
KH.C10.199,NIPA2; NIPAL1; NIPAL4,Cirobu.g00001399
KH.C10.2,MARK1; MARK2; MARK3,Cirobu.g00001400
KH.C10.20,DDT; MIF,Cirobu.g00001401
KH.C10.200,SLC6A2; SLC6A3; SLC6A4,Cirobu.g00001402
KH.C10.201,CHAF1B; HIRA; POC1A,Cirobu.g00001403
KH.C10.202,ALG5; DPM1,Cirobu.g00001404
KH.C10.203,CALHM2; CALHM5; CALHM6,Cirobu.g00001405
KH.C10.204,KH.C10.204,Cirobu.g00001406
KH.C10.205,KH.C10.205,Cirobu.g00001407
KH.C10.206,KH.C10.206,Cirobu.g00001408
KH.C10.207,EML1; EML5; EML6,Cirobu.g00001409
KH.C10.208,SLC25A20; SLC25A29; SLC25A45,Cirobu.g00001410
KH.C10.209,DAAM1; DAAM2; FMNL3,Cirobu.g00001411
KH.C10.21,C11orf49,Cirobu.g00001412
KH.C10.210,CD81; CD9; TSPAN2,Cirobu.g00001413
KH.C10.211,KMT2A; KMT2B; KMT2C,Cirobu.g00001414
KH.C10.212,RPL27A,Cirobu.g00001415
KH.C10.213,ADORA1; ADORA2A; ADORA2B,Cirobu.g00001416
KH.C10.214,ALDH1A3; ALDH8A1; ALDH9A1,Cirobu.g00001417
KH.C10.215,KH.C10.215,Cirobu.g00001418
KH.C10.216,SIVA1,Cirobu.g00001419
KH.C10.217,MRPL54,Cirobu.g00001420
KH.C10.218,TBC1D13; TBC1D22A; TBC1D22B,Cirobu.g00001421
KH.C10.219,KH.C10.219,Cirobu.g00001422
KH.C10.22,KHDRBS2; KHDRBS3; QKI,Cirobu.g00001423
KH.C10.220,KH.C10.220,Cirobu.g00001424
KH.C10.221,AQR; UPF1; ZNFX1,Cirobu.g00001425
KH.C10.222,VPS29,Cirobu.g00001426
KH.C10.223,B9D2; MKS1,Cirobu.g00001427
KH.C10.224,NUDCD1; NUDCD2; NUDCD3,Cirobu.g00001428
KH.C10.225,KH.C10.225,Cirobu.g00001429
KH.C10.226,SNX1; SNX2; SNX5,Cirobu.g00001430
KH.C10.227,KH.C10.227,Cirobu.g00001431
KH.C10.228,COL12A1; MATN1; MATN2,Cirobu.g00001432
KH.C10.229,PCTP; STARD7,Cirobu.g00001433
KH.C10.23,HNRNPCL1; HNRNPCL4,Cirobu.g00001434
KH.C10.230,KH.C10.230,Cirobu.g00001435
KH.C10.231,AGXT2; ETNPPL; PHYKPL,Cirobu.g00001436
KH.C10.232,ETFA,Cirobu.g00001437
KH.C10.233,KH.C10.233,Cirobu.g00001438
KH.C10.234,NUB1,Cirobu.g00001439
KH.C10.235,KH.C10.235,Cirobu.g00001440
KH.C10.236,HAUS6,Cirobu.g00001441
KH.C10.237,KH.C10.237,Cirobu.g00001442
KH.C10.238,AFTPH,Cirobu.g00001443
KH.C10.239,RPS27A; UBB; UBC,Cirobu.g00001444
KH.C10.24,DDT; MIF,Cirobu.g00001445
KH.C10.240,ALDH1A1; ALDH6A1; ALDH9A1,Cirobu.g00001446
KH.C10.241,GXYLT1; GXYLT2; LARGE1,Cirobu.g00001447
KH.C10.242,KH.C10.242,Cirobu.g00001448
KH.C10.243,TMEM120A; TMEM120B,Cirobu.g00001449
KH.C10.244,KH.C10.244,Cirobu.g00001450
KH.C10.245,MLLT10; MLLT6,Cirobu.g00001451
KH.C10.246,SLC8A1; SLC8A2; SLC8A3,Cirobu.g00001452
KH.C10.247,KH.C10.247,Cirobu.g00001453
KH.C10.248,FDPS; GGPS1,Cirobu.g00001454
KH.C10.249,PKD1; PKD1L2; PKD1L3,Cirobu.g00001455
KH.C10.25,ALS2; MORN1; RSPH1,Cirobu.g00001456
KH.C10.250,RBFOX2; RBFOX3,Cirobu.g00001457
KH.C10.251,KH.C10.251,Cirobu.g00001458
KH.C10.252,DBT; DLAT; PDHX,Cirobu.g00001459
KH.C10.253,IQSEC1; IQSEC2; IQSEC3,Cirobu.g00001460
KH.C10.254,KH.C10.254,Cirobu.g00001461
KH.C10.255,ADGRG4; ADGRG7; ADGRL3,Cirobu.g00001462
KH.C10.256,KH.C10.256,Cirobu.g00001463
KH.C10.257,FHAD1,Cirobu.g00001464
KH.C10.258,ARHGAP11A; RRBP1,Cirobu.g00001465
KH.C10.259,KH.C10.259,Cirobu.g00001466
KH.C10.26,CALM3; CALML3; EFCAB2,Cirobu.g00001467
KH.C10.260,HMCN1; NCAM1; NCAM2,Cirobu.g00001468
KH.C10.261,CD9; TSPAN11; TSPAN2,Cirobu.g00001469
KH.C10.262,CYP2A13; CYP2A6; CYP2J2,Cirobu.g00001470
KH.C10.263,KH.C10.263,Cirobu.g00001471
KH.C10.264,HNRNPDL; MSI1; MSI2,Cirobu.g00001472
KH.C10.265,KH.C10.265,Cirobu.g00001473
KH.C10.266,KH.C10.266,Cirobu.g00001474
KH.C10.267,HEXA; HEXB,Cirobu.g00001475
KH.C10.268,KH.C10.268,Cirobu.g00001476
KH.C10.269,KH.C10.269,Cirobu.g00001477
KH.C10.27,KH.C10.27,Cirobu.g00001478
KH.C10.270,PNN,Cirobu.g00001479
KH.C10.271,MCEE,Cirobu.g00001480
KH.C10.272,FAM213A; FAM213B,Cirobu.g00001481
KH.C10.273,EMG1,Cirobu.g00001482
KH.C10.274,NEGR1; NTM; OPCML,Cirobu.g00001483
KH.C10.275,DCTN2,Cirobu.g00001484
KH.C10.276,KH.C10.276,Cirobu.g00001485
KH.C10.277,ENDOV,Cirobu.g00001486
KH.C10.278,EIF2B1; EIF2B2; EIF2B4,Cirobu.g00001487
KH.C10.279,QTRT1; QTRT2,Cirobu.g00001488
KH.C10.28,KH.C10.28,Cirobu.g00001489
KH.C10.280,EIF4A1; EIF4A2; EIF4A3,Cirobu.g00001490
KH.C10.281,KH.C10.281,Cirobu.g00001491
KH.C10.282,FUT3; FUT5; FUT6,Cirobu.g00001492
KH.C10.283,KH.C10.283,Cirobu.g00001493
KH.C10.284,C2CD6,Cirobu.g00001494
KH.C10.285,STX12; STX16-NPEPL1; STX5,Cirobu.g00001495
KH.C10.286,HMCN1; SCUBE1; SCUBE2,Cirobu.g00001496
KH.C10.287,BCL9,Cirobu.g00001497
KH.C10.288,RIC3,Cirobu.g00001498
KH.C10.289,KH.C10.289,Cirobu.g00001499
KH.C10.29,KH.C10.29,Cirobu.g00001500
KH.C10.290,KH.C10.290,Cirobu.g00001501
KH.C10.291,KCNJ12; KCNJ18; KCNJ2,Cirobu.g00001502
KH.C10.292,KH.C10.292,Cirobu.g00001503
KH.C10.294,CCDC9; CCDC9B,Cirobu.g00001504
KH.C10.295,KH.C10.295,Cirobu.g00001505
KH.C10.296,KH.C10.296,Cirobu.g00001506
KH.C10.297,ICK; MAK; MOK,Cirobu.g00001507
KH.C10.298,SDHD,Cirobu.g00001508
KH.C10.299,NAA30; NAA50; NAA60,Cirobu.g00001509
KH.C10.3,AL136295.1; CHMP6; CHMP7,Cirobu.g00001510
KH.C10.30,KH.C10.30,Cirobu.g00001511
KH.C10.300,KH.C10.300,Cirobu.g00001512
KH.C10.301,CHDH,Cirobu.g00001513
KH.C10.302,KH.C10.302,Cirobu.g00001514
KH.C10.303,LRRD1; RSU1; XRRA1,Cirobu.g00001515
KH.C10.304,INTS10,Cirobu.g00001516
KH.C10.305,TBP; TBPL1; TBPL2,Cirobu.g00001517
KH.C10.306,KH.C10.306,Cirobu.g00001518
KH.C10.307,ACLY; SUCLG1,Cirobu.g00001519
KH.C10.308,ZNF862,Cirobu.g00001520
KH.C10.309,THBS1; THBS2; TYR,Cirobu.g00001521
KH.C10.31,ARL6IP5; RABAC1,Cirobu.g00001522
KH.C10.310,NDUFS4,Cirobu.g00001523
KH.C10.311,PRKCD; PRKCE; PRKCH,Cirobu.g00001524
KH.C10.312,CD63; TSPAN5; TSPAN8,Cirobu.g00001525
KH.C10.313,KH.C10.313,Cirobu.g00001526
KH.C10.314,KH.C10.314,Cirobu.g00001527
KH.C10.315,KH.C10.315,Cirobu.g00001528
KH.C10.316,KH.C10.316,Cirobu.g00001529
KH.C10.317,FN1,Cirobu.g00001530
KH.C10.318,CENPV; CENPVL1; CENPVL2,Cirobu.g00001531
KH.C10.319,KH.C10.319,Cirobu.g00001532
KH.C10.32,KH.C10.32,Cirobu.g00001533
KH.C10.320,USP11; USP32; USP4,Cirobu.g00001534
KH.C10.321,C16orf89,Cirobu.g00001535
KH.C10.322,KH.C10.322,Cirobu.g00001536
KH.C10.324,EIF5B; GUF1; MTIF2,Cirobu.g00001537
KH.C10.325,KH.C10.325,Cirobu.g00001538
KH.C10.326,KH.C10.326,Cirobu.g00001539
KH.C10.328,PRDX1; PRDX2; PRDX4,Cirobu.g00001540
KH.C10.329,AREL1; HUWE1; SMURF1,Cirobu.g00001541
KH.C10.33,PHB; PHB2,Cirobu.g00001542
KH.C10.330,PPP2R5A; PPP2R5B; PPP2R5E,Cirobu.g00001543
KH.C10.331,MRC1,Cirobu.g00001544
KH.C10.332,KH.C10.332,Cirobu.g00001545
KH.C10.334,SLC50A1,Cirobu.g00001546
KH.C10.335,CALM1; CALM3; CALML3,Cirobu.g00001547
KH.C10.336,KH.C10.336,Cirobu.g00001548
KH.C10.337,KH.C10.337,Cirobu.g00001549
KH.C10.338,NKX2-1; NKX2-2; NKX2-4,Cirobu.g00001550
KH.C10.339,ANGPT1; ANGPT2; FGL1,Cirobu.g00001551
KH.C10.34,NME5; NME7; NME8,Cirobu.g00001552
KH.C10.340,CBR4; DHRS11,Cirobu.g00001553
KH.C10.341,CYP2C8; CYP2J2; CYP2U1,Cirobu.g00001554
KH.C10.342,DGLUCY,Cirobu.g00001555
KH.C10.343,SLC7A1; SLC7A2; SLC7A3,Cirobu.g00001556
KH.C10.344,TMEM86A; TMEM86B,Cirobu.g00001557
KH.C10.345,PPP5C; RPAP3; SPAG1,Cirobu.g00001558
KH.C10.346,DDX27; DDX46; DDX54,Cirobu.g00001559
KH.C10.347,ABHD11; BPHL; EPHX4,Cirobu.g00001560
KH.C10.348,KH.C10.348,Cirobu.g00001561
KH.C10.349,AC090958.3; TAMM41,Cirobu.g00001562
KH.C10.35,EIF3L,Cirobu.g00001563
KH.C10.350,AC093155.3; HS2ST1; UST,Cirobu.g00001564
KH.C10.351,CRYM,Cirobu.g00001565
KH.C10.352,NIPSNAP1; NIPSNAP2; NIPSNAP3A,Cirobu.g00001566
KH.C10.353,HS1BP3,Cirobu.g00001567
KH.C10.354,KH.C10.354,Cirobu.g00001568
KH.C10.355,EEPD1,Cirobu.g00001569
KH.C10.356,KH.C10.356,Cirobu.g00001570
KH.C10.357,SLC30A5; SLC30A6; SLC30A7,Cirobu.g00001571
KH.C10.358,TAF6; TAF6L,Cirobu.g00001572
KH.C10.359,KH.C10.359,Cirobu.g00001573
KH.C10.36,ABCC10; ABCC2; ABCC4,Cirobu.g00001574
KH.C10.360,H2AFJ; H2AFX; HIST2H2AC,Cirobu.g00001575
KH.C10.361,KH.C10.361,Cirobu.g00001576
KH.C10.362,ETHE1; HAGHL; PNKD,Cirobu.g00001577
KH.C10.363,KH.C10.363,Cirobu.g00001578
KH.C10.364,KH.C10.364,Cirobu.g00001579
KH.C10.365,GAR1,Cirobu.g00001580
KH.C10.366,SLC43A1; SLC43A2,Cirobu.g00001581
KH.C10.367,SIX1; SIX3; SIX6,Cirobu.g00001582
KH.C10.368,PRG4; SBSPON; SPON1,Cirobu.g00001583
KH.C10.369,CIT; MYO18A,Cirobu.g00001584
KH.C10.37,CBL; CBLB; CBLC,Cirobu.g00001585
KH.C10.370,NCAPH,Cirobu.g00001586
KH.C10.371,HMCN1; PRSS33; PRSS8,Cirobu.g00001587
KH.C10.372,LRRC74A; NLRC3; PPP1R37,Cirobu.g00001588
KH.C10.373,KH.C10.373,Cirobu.g00001589
KH.C10.374,COX5B,Cirobu.g00001590
KH.C10.376,CHDH,Cirobu.g00001591
KH.C10.377,CACNA1A; CACNA1G; CATSPER1,Cirobu.g00001592
KH.C10.378,CYP2F1; CYP2J2; CYP2U1,Cirobu.g00001593
KH.C10.379,MGAT4A; MGAT4B; MGAT4D,Cirobu.g00001594
KH.C10.38,AMN,Cirobu.g00001595
KH.C10.380,KH.C10.380,Cirobu.g00001596
KH.C10.381,KH.C10.381,Cirobu.g00001597
KH.C10.382,KIAA1257,Cirobu.g00001598
KH.C10.383,ERCC6L2; HLTF; TTF2,Cirobu.g00001599
KH.C10.384,SLC29A1; SLC29A2; SLC29A3,Cirobu.g00001600
KH.C10.385,DNAH11; DNAH17; DNAH9,Cirobu.g00001601
KH.C10.386,KH.C10.386,Cirobu.g00001602
KH.C10.387,CFAP126,Cirobu.g00001603
KH.C10.388,DCST1; DCST2; DCSTAMP,Cirobu.g00001604
KH.C10.389,KH.C10.389,Cirobu.g00001605
KH.C10.39,KH.C10.39,Cirobu.g00001606
KH.C10.390,KH.C10.390,Cirobu.g00001607
KH.C10.391,DDAH1; DDAH2,Cirobu.g00001608
KH.C10.392,TRPC4; TRPC5; TRPC6,Cirobu.g00001609
KH.C10.393,ADCY10; GUCY1A1,Cirobu.g00001610
KH.C10.394,SLC22A15; SLC22A16; SLC22A4,Cirobu.g00001611
KH.C10.395,DNAL1; LRRC46; LRRC6,Cirobu.g00001612
KH.C10.396,KH.C10.396,Cirobu.g00001613
KH.C10.397,SGPP1; SGPP2,Cirobu.g00001614
KH.C10.398,CBR4; DHRS11,Cirobu.g00001615
KH.C10.399,KH.C10.399,Cirobu.g00001616
KH.C10.4,KH.C10.4,Cirobu.g00001617
KH.C10.40,PSAT1,Cirobu.g00001618
KH.C10.400,SCAMP1; SCAMP2; SCAMP3,Cirobu.g00001619
KH.C10.401,KH.C10.401,Cirobu.g00001620
KH.C10.402,PLA2G1B; PLA2G2A; PLA2G2D,Cirobu.g00001621
KH.C10.403,KH.C10.403,Cirobu.g00001622
KH.C10.404,PTK2; SYK; ZAP70,Cirobu.g00001623
KH.C10.405,MPHOSPH6,Cirobu.g00001624
KH.C10.406,SELE; SELL; SELP,Cirobu.g00001625
KH.C10.407,NID2; SMOC1; TG,Cirobu.g00001626
KH.C10.408,AP3S1; AP3S2; C15orf38-AP3S2,Cirobu.g00001627
KH.C10.409,KH.C10.409,Cirobu.g00001628
KH.C10.41,FUT3; FUT6; FUT9,Cirobu.g00001629
KH.C10.410,KH.C10.410,Cirobu.g00001630
KH.C10.411,DDX28; DDX3X; DDX41,Cirobu.g00001631
KH.C10.412,GAA; GANAB; GANC,Cirobu.g00001632
KH.C10.413,STPG4,Cirobu.g00001633
KH.C10.414,TMEM179; TMEM179B,Cirobu.g00001634
KH.C10.415,ARSA; ARSE; STS,Cirobu.g00001635
KH.C10.416,MEMO1,Cirobu.g00001636
KH.C10.417,TFF1; TFF2,Cirobu.g00001637
KH.C10.418,CBR4; DHRS11,Cirobu.g00001638
KH.C10.419,KH.C10.419,Cirobu.g00001639
KH.C10.42,AP1S1; AP1S2; AP1S3,Cirobu.g00001640
KH.C10.420,ERG; FEV; FLI1,Cirobu.g00001641
KH.C10.421,PEA15,Cirobu.g00001642
KH.C10.422,KH.C10.422,Cirobu.g00001643
KH.C10.423,COL6A5; COL6A6; MATN1,Cirobu.g00001644
KH.C10.424,MAGI1; MAGI2; SAV1,Cirobu.g00001645
KH.C10.425,KH.C10.425,Cirobu.g00001646
KH.C10.426,MSANTD3-TMEFF1; TGFA; TMEFF1,Cirobu.g00001647
KH.C10.427,GDAP2; MACROD1; MACROD2,Cirobu.g00001648
KH.C10.428,KH.C10.428,Cirobu.g00001649
KH.C10.429,CEMIP; PKHD1; PKHD1L1,Cirobu.g00001650
KH.C10.43,COX6A1; COX6A2,Cirobu.g00001651
KH.C10.430,CES2; CES5A,Cirobu.g00001652
KH.C10.431,CDC27; OGT; TTC6,Cirobu.g00001653
KH.C10.432,KH.C10.432,Cirobu.g00001654
KH.C10.433,KH.C10.433,Cirobu.g00001655
KH.C10.434,TSTA3; UXS1,Cirobu.g00001656
KH.C10.436,BLVRA; DHDH,Cirobu.g00001657
KH.C10.438,KH.C10.438,Cirobu.g00001658
KH.C10.439,DDT; MIF,Cirobu.g00001659
KH.C10.44,PRKRIP1,Cirobu.g00001660
KH.C10.440,IFIT1,Cirobu.g00001661
KH.C10.441,MOCOS; NFS1,Cirobu.g00001662
KH.C10.442,KH.C10.442,Cirobu.g00001663
KH.C10.443,PKD1L1; PKD1L2; PKD1L3,Cirobu.g00001664
KH.C10.444,SPINT3; WFIKKN1; WFIKKN2,Cirobu.g00001665
KH.C10.445,CACNG2; CACNG3; CACNG8,Cirobu.g00001666
KH.C10.446,UBASH3A; UBASH3B; UBXN1,Cirobu.g00001667
KH.C10.447,AL159163.1; RNASET2,Cirobu.g00001668
KH.C10.448,B4GALT1; B4GALT2; B4GALT3,Cirobu.g00001669
KH.C10.449,CAMK1; CAMK1D; PIK3R4,Cirobu.g00001670
KH.C10.45,KH.C10.45,Cirobu.g00001671
KH.C10.450,KH.C10.450,Cirobu.g00001672
KH.C10.451,ADGRB1; HMCN1; THBS1,Cirobu.g00001673
KH.C10.452,KH.C10.452,Cirobu.g00001674
KH.C10.453,UNC93A,Cirobu.g00001675
KH.C10.454,HCN1; HCN2; HCN4,Cirobu.g00001676
KH.C10.455,KLHDC8A; KLHDC8B; KLHL18,Cirobu.g00001677
KH.C10.456,KH.C10.456,Cirobu.g00001678
KH.C10.457,EFEMP2; FBLN1; FBLN5,Cirobu.g00001679
KH.C10.458,TRPC3; TRPC5; TRPC6,Cirobu.g00001680
KH.C10.459,ADAP1; ADAP2; AGAP2,Cirobu.g00001681
KH.C10.46,RTN1; RTN3; RTN4,Cirobu.g00001682
KH.C10.460,KH.C10.460,Cirobu.g00001683
KH.C10.461,KH.C10.461,Cirobu.g00001684
KH.C10.462,KH.C10.462,Cirobu.g00001685
KH.C10.463,CREB3; CREB3L3; CREB3L4,Cirobu.g00001686
KH.C10.464,KH.C10.464,Cirobu.g00001687
KH.C10.465,CALM2; CALML5; CALN1,Cirobu.g00001688
KH.C10.466,SLC22A1; SLC22A2; SLC22A3,Cirobu.g00001689
KH.C10.467,SHC1; SHC2; SHC3,Cirobu.g00001690
KH.C10.468,SKIV2L,Cirobu.g00001691
KH.C10.469,KH.C10.469,Cirobu.g00001692
KH.C10.47,ADGRG2; ADGRG4; ADGRG7,Cirobu.g00001693
KH.C10.470,KH.C10.470,Cirobu.g00001694
KH.C10.471,AC093155.3; HS2ST1; UST,Cirobu.g00001695
KH.C10.472,MSL1,Cirobu.g00001696
KH.C10.474,HMBS,Cirobu.g00001697
KH.C10.475,SAXO1; SAXO2,Cirobu.g00001698
KH.C10.476,DNM1; DNM1L; DNM2,Cirobu.g00001699
KH.C10.477,ADGRB2; HMCN1; SEMA5B,Cirobu.g00001700
KH.C10.478,KH.C10.478,Cirobu.g00001701
KH.C10.479,KH.C10.479,Cirobu.g00001702
KH.C10.48,KH.C10.48,Cirobu.g00001703
KH.C10.480,CACNA1H; TPCN1; TPCN2,Cirobu.g00001704
KH.C10.481,KH.C10.481,Cirobu.g00001705
KH.C10.482,BTBD2; BTBD3; BTBD9,Cirobu.g00001706
KH.C10.483,KH.C10.483,Cirobu.g00001707
KH.C10.484,KH.C10.484,Cirobu.g00001708
KH.C10.485,KH.C10.485,Cirobu.g00001709
KH.C10.486,CDC42BPA; CDC42BPB; CDC42BPG,Cirobu.g00001710
KH.C10.487,KH.C10.487,Cirobu.g00001711
KH.C10.488,RSPH4A; RSPH6A,Cirobu.g00001712
KH.C10.49,BCL3; NFKB1; NFKB2,Cirobu.g00001713
KH.C10.490,CRISP3; GLIPR1L1; PI15,Cirobu.g00001714
KH.C10.491,ATG10; ATG3,Cirobu.g00001715
KH.C10.492,KH.C10.492,Cirobu.g00001716
KH.C10.493,KH.C10.493,Cirobu.g00001717
KH.C10.494,TMX2; TMX2-CTNND1; TMX3,Cirobu.g00001718
KH.C10.495,MGMT,Cirobu.g00001719
KH.C10.496,HMCN1; PRSS33; PRSS38,Cirobu.g00001720
KH.C10.497,KH.C10.497,Cirobu.g00001721
KH.C10.498,EIF2AK3; EIF2AK4; HARS,Cirobu.g00001722
KH.C10.499,KH.C10.499,Cirobu.g00001723
KH.C10.5,KH.C10.5,Cirobu.g00001724
KH.C10.50,RAB1A; RAB1B; RAB8B,Cirobu.g00001725
KH.C10.500,FEM1A; FEM1B; FEM1C,Cirobu.g00001726
KH.C10.501,KH.C10.501,Cirobu.g00001727
KH.C10.502,SCN10A; SCN1A; SCN4A,Cirobu.g00001728
KH.C10.503,SFSWAP,Cirobu.g00001729
KH.C10.504,KH.C10.504,Cirobu.g00001730
KH.C10.505,KH.C10.505,Cirobu.g00001731
KH.C10.506,KH.C10.506,Cirobu.g00001732
KH.C10.507,UBE2D4; UBE2L3; UBE2L6,Cirobu.g00001733
KH.C10.508,KH.C10.508,Cirobu.g00001734
KH.C10.51,KH.C10.51,Cirobu.g00001735
KH.C10.510,NRDE2,Cirobu.g00001736
KH.C10.511,RDH13,Cirobu.g00001737
KH.C10.512,KH.C10.512,Cirobu.g00001738
